x,y
7,-220
7,-221
330,-221
331,-221
7,-222
331,-222
7,-223
331,-223
7,-224
331,-224
7,-225
331,-225
7,-226
331,-226
8,-227
331,-227
9,-228
10,-228
331,-228
10,-229
331,-229
11,-230
331,-230
11,-231
12,-231
331,-231
12,-232
330,-232
331,-232
13,-233
330,-233
13,-234
329,-234
13,-235
328,-235
329,-235
12,-236
327,-236
328,-236
13,-237
326,-237
327,-237
13,-238
14,-238
325,-238
326,-238
14,-239
323,-239
324,-239
325,-239
14,-240
322,-240
323,-240
14,-241
15,-241
321,-241
322,-241
15,-242
16,-242
319,-242
320,-242
321,-242
16,-243
17,-243
318,-243
319,-243
18,-244
19,-244
318,-244
19,-245
20,-245
317,-245
21,-246
22,-246
23,-246
37,-246
38,-246
39,-246
40,-246
317,-246
24,-247
25,-247
35,-247
36,-247
41,-247
42,-247
317,-247
23,-248
26,-248
27,-248
28,-248
29,-248
30,-248
31,-248
32,-248
33,-248
34,-248
35,-248
43,-248
317,-248
44,-249
317,-249
44,-250
45,-250
73,-250
74,-250
75,-250
76,-250
317,-250
46,-251
71,-251
72,-251
77,-251
78,-251
79,-251
317,-251
47,-252
48,-252
65,-252
66,-252
67,-252
68,-252
69,-252
70,-252
317,-252
49,-253
50,-253
51,-253
56,-253
57,-253
58,-253
59,-253
60,-253
61,-253
62,-253
63,-253
64,-253
79,-253
316,-253
317,-253
52,-254
53,-254
54,-254
55,-254
78,-254
316,-254
56,-255
57,-255
58,-255
59,-255
78,-255
315,-255
316,-255
77,-256
315,-256
75,-257
76,-257
77,-257
314,-257
315,-257
75,-258
314,-258
74,-259
313,-259
74,-260
312,-260
313,-260
73,-261
311,-261
312,-261
73,-262
310,-262
311,-262
72,-263
73,-263
308,-263
309,-263
71,-264
72,-264
306,-264
307,-264
71,-265
304,-265
305,-265
306,-265
71,-266
302,-266
303,-266
71,-267
302,-267
72,-268
301,-268
72,-269
301,-269
72,-270
301,-270
72,-271
301,-271
73,-272
300,-272
73,-273
301,-273
73,-274
300,-274
74,-275
300,-275
74,-276
300,-276
75,-277
299,-277
300,-277
75,-278
299,-278
75,-279
298,-279
75,-280
298,-280
75,-281
297,-281
75,-282
295,-282
296,-282
74,-283
294,-283
295,-283
74,-284
293,-284
294,-284
74,-285
290,-285
291,-285
292,-285
74,-286
288,-286
289,-286
74,-287
287,-287
288,-287
74,-288
286,-288
74,-289
285,-289
74,-290
285,-290
75,-291
285,-291
75,-292
285,-292
75,-293
284,-293
76,-294
285,-294
76,-295
77,-295
284,-295
77,-296
78,-296
